id,text,label
1,"Это отличный продукт, очень доволен покупкой",positive
2,"Ужасное качество, не рекомендую",negative
3,"Нормальный товар, соответствует описанию",neutral
4,"Превосходное обслуживание клиентов",positive
5,"Долго ждал доставку, но товар хороший",neutral
6,"Полный разочарование, деньги на ветер",negative
7,"Быстрая доставка, качество на высоте",positive
8,"Средний продукт, ничего особенного",neutral
9,"Отличное соотношение цена-качество",positive
10,"Не работает как заявлено, возвращаю",negative
